request_id,o_lat,o_lon,d_lat,d_lon,departure_time,cancel_time,passengers
0,39.74682521181469,-104.99533410453688,39.74621754502403,-104.97632887706476,120,420,2
1,39.761972923810774,-104.98294227485222,39.75470339703305,-104.98638750527994,120,420,1
2,39.75954217149428,-104.97905320619232,39.7566021348505,-104.98806012920113,180,480,2
3,39.75994243489886,-104.9849590422083,39.74585877123271,-104.97840233203877,240,540,4
4,39.74819205821383,-104.98758365286646,39.74426737088691,-104.98707405780657,240,540,4
5,39.74938614639841,-104.9960373855807,39.75386552347139,-104.9947913055341,300,600,1
6,39.7564458251301,-104.984402520007,39.75582850720541,-104.98243608989124,300,600,2
7,39.762301083183715,-104.98182341641927,39.75617068841132,-104.98633574109371,300,600,1
8,39.75369118328148,-104.97469818035393,39.742086090926044,-104.98096013262764,300,600,3
9,39.74937780614828,-104.98990315015615,39.759797841580756,-104.97500024396945,360,660,4
10,39.74322202117847,-104.988982226533,39.750515418294405,-104.97529879409099,360,660,1
11,39.76739542682984,-104.97691032717137,39.762164328070654,-104.97514475588524,360,660,4
12,39.745604905852076,-104.98486037551191,39.752481816340605,-104.99053575489278,420,720,3
13,39.75767777861022,-104.97654573588993,39.74820530758679,-104.99200032359072,480,780,2
14,39.755591765179894,-104.98517440285934,39.748000525393465,-104.98125092114904,540,840,1
15,39.757108519863095,-104.98007528795314,39.74391828722837,-104.97766415051524,540,840,4
16,39.7549975431529,-104.97614038283321,39.74153717046062,-104.98002532360209,600,900,3
17,39.7479196155004,-104.98374225474464,39.74900928402303,-104.9754643346968,600,900,2
18,39.755684961986866,-104.9879420996702,39.74739527217036,-104.98506839760144,600,900,1
19,39.761331313407844,-104.97588163623509,39.74632115988979,-104.98234305829216,600,900,2
20,39.76758526582425,-104.97674726383349,39.76205299414417,-104.97859133174973,720,1020,1
21,39.74863242571767,-104.97431373913635,39.74337805885629,-104.98351926237628,780,1080,3
22,39.75183169299984,-104.97721013415294,39.75157190282058,-104.99700058181016,780,1080,4
23,39.750689837173475,-104.98752814055695,39.758145944114254,-104.98670941591128,780,1080,4
24,39.74340654080306,-104.97672526016672,39.753456974626786,-104.97535823939691,780,1080,3
25,39.747687551107475,-104.99527230442966,39.74558728815697,-104.98098015958305,840,1140,4
26,39.74704698891465,-104.98260234516434,39.75332612365639,-104.97516483026313,900,1200,2
