time,station_id,charger_id,price_kwh
1970-01-01T00:00:00,s1,DCFC,0.1
1970-01-01T00:00:00,s2,DCFC,0.1
1970-01-01T00:00:00,bs1,LEVEL_2,0.01
1970-01-01T08:00:00,s1,DCFC,0.5
1970-01-01T08:00:00,s2,DCFC,0.5
1970-01-01T08:00:00,bs1,LEVEL_2,0.05
1970-01-01T10:00:00,s1,DCFC,0.3
1970-01-01T10:00:00,s2,DCFC,0.3
1970-01-01T10:00:00,bs1,LEVEL_2,0.03
1970-01-01T19:00:00,s1,DCFC,0.5
1970-01-01T19:00:00,s2,DCFC,0.5
1970-01-01T19:00:00,bs1,LEVEL_2,0.05
1970-01-01T22:00:00,s1,DCFC,0.1
1970-01-01T22:00:00,s2,DCFC,0.1
1970-01-01T22:00:00,bs1,LEVEL_2,0.01

